"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"628",0,0.0644242110122661,0,0.848876278634297,0,0.042864447556901,0.010527973655713,0,0.0333070891408235,0,0.848876278634297
"629",0,0,0,0,0,1,0,0,0,0,1
"630",0,0,0,0,0,0.0100535241110592,0.980112801409306,0.00983367447963493,0,0,0.980112801409306
"631",0,0.100070363039156,0.0454485805222288,0.378800240765197,0.0327418781028877,0.442938937570531,0,0,0,0,0.442938937570531
"632",0,0.101396405505295,0.0102669448625995,0.0694467241686886,0.212424479909559,0.0696999044892549,0.242863040292535,0.293902500772068,0,0,0.293902500772068
"633",0.0490966790906297,0.0779316842999512,0,0.863983489943924,0.00799025136967464,0,0,0,0,0.000997895295820667,0.863983489943924
"634",0,1,0,0,0,0,0,0,0,0,1
"635",0,0.0909744470466518,0,0.633124715297199,0.192986268716167,0.0829145689399823,0,0,0,0,0.633124715297199
"636",0,0.157525738355944,0.0234439974240479,0.162671933621095,0.119363543963439,0.475607862142521,0,0.0363308492047476,0.0250560752882053,0,0.475607862142521
"637",0,0.995729077677908,0,0.004270922322092,0,0,0,0,0,0,0.995729077677908
"638",0.0197140423076359,0.908916375723167,0,0,0.071369581969197,0,0,0,0,0,0.908916375723167
"639",0,0,0,0.710048169227175,0,0,0.243957113500632,0.0459947172721931,0,0,0.710048169227175
"640",0,0.111854477223074,0,0.876066311679879,0.0120792110970478,0,0,0,0,0,0.876066311679879
"641",0,0.181102911757514,0.00567205353449743,0.813225034707988,0,0,0,0,0,0,0.813225034707988
"642",0,0.993909628192218,0,0.00609037180778227,0,0,0,0,0,0,0.993909628192218
"643",0,0.0577567578542761,0.00323408964613007,0.0886784636224402,0.0284415059727683,0.700298485622682,0.0597771562552023,0.0618135410265014,0,0,0.700298485622682
"644",0,0.0130347157799817,0,0.986965284220018,0,0,0,0,0,0,0.986965284220018
"645",0,0.0531314971281223,0.0195922576589913,0.0100557683676193,0,0.0259428820042211,0.572935636887085,0.31834195795396,0,0,0.572935636887085
"646",0,0.160788166768376,0,0.477845646274069,0.00940100136376864,0.0862849103663621,0,0.0288547098398635,0,0.236825565387561,0.477845646274069
