,Connecting Tubule,Distal Convoluted Tubule,Endothelial Cell,Intercalated Cells Type A,Intercalated Cells Type B,Leukocyte,Mesangial Cells,Principal Cells,Proximal Tubule,Thick Ascending Limb
139,0.09413879,0.12809245,2.806936e-06,0.010613151,0.08025052,0.039214034,0.01877979,0.46165597,0.16724958,2.9504395e-06
140,0.018761652,0.27020398,0.029236477,0.058623638,0.010467966,0.02002785,3.109065e-07,0.11244239,0.13732702,0.3429087
141,0.0026082362,0.08953,0.050897785,1.0966983e-06,0.04804085,0.015963065,0.011395329,0.0613715,0.30670643,0.41348568
142,0.10859252,1.2962358e-06,0.09439629,5.5929314e-07,5.821981e-07,0.04841244,0.16829245,0.15132092,0.42898145,1.4652459e-06
143,0.12805767,3.4118893e-06,0.042753406,0.055823214,0.030828817,0.016920952,1.5385975e-06,0.23806386,0.13588727,0.3516599
144,0.2305409,1.9085853e-06,0.02692684,8.1299055e-07,0.014263988,0.038315665,4.219047e-07,0.325896,0.06984883,0.29420456
145,0.36934912,1.7060318e-06,0.10515471,0.054220773,0.0033691195,0.0052503534,0.0996521,0.15775676,0.19289073,0.012354671
146,0.089326315,0.12821648,1.1442918e-06,0.2439968,1.4534095e-06,0.069719344,1.155218e-06,0.09011632,5.375296e-07,0.37862048
147,0.07115334,2.957684e-06,0.0054582055,0.1074042,0.09434678,0.0019288083,5.945936e-07,0.524171,0.12790339,0.06763075
148,0.16966884,0.027909042,0.076400146,1.1781058e-06,0.064593084,0.028779948,0.0022662098,0.42623588,0.032233298,0.17191236
149,5.142348e-05,0.04795274,0.0031961112,0.049939204,0.09997907,0.016930535,0.06954917,0.36990732,0.15744781,0.1850466
150,0.08958159,0.16803412,0.1038138,0.10217288,0.05096359,0.029258952,8.5590364e-07,0.20239575,0.15348299,0.10029545
151,9.530123e-06,0.089280315,0.221555,0.14798245,2.5777697e-05,1.48944955e-05,0.065051,1.2855473e-05,0.47561538,0.0004527884
152,0.24261113,2.113199e-05,0.04433874,0.087576434,0.0032637948,0.0385526,1.4856337e-06,0.44255623,0.01707871,0.123999685
153,0.098732695,0.21736555,0.04244027,0.29050267,1.912295e-06,0.006409211,0.033861626,0.2559373,0.049810342,0.0049383375
